,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The 600 Essential Korean Words,,,,,,,,,,,,,,,,,,,,,,,,,,
,Click 'File' -> 'Make a Copy' to make your own copy of this spreadsheet.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Visit us over at thinkinkorean.com to get more weekly tips and resources to help you learn Korean!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,Korean,English,,,,,,,,,,,,,,,,,,,,,,,,
,1,개,dog,,,,,,,,,,,,,,,,,,,,,,,,
,2,고양이,cat,,,,,,,,,,,,,,,,,,,,,,,,
,3,물고기,fish,,,,,,,,,,,,,,,,,,,,,,,,
,4,새,bird,,,,,,,,,,,,,,,,,,,,,,,,
,5,소,cow,,,,,,,,,,,,,,,,,,,,,,,,
,6,쥐,mouse,,,,,,,,,,,,,,,,,,,,,,,,
,7,말,horse,,,,,,,,,,,,,,,,,,,,,,,,
,8,날개,wing,,,,,,,,,,,,,,,,,,,,,,,,
,9,동물,animal,,,,,,,,,,,,,,,,,,,,,,,,
,10,기차,train,,,,,,,,,,,,,,,,,,,,,,,,
,11,비행기,airplane,,,,,,,,,,,,,,,,,,,,,,,,
,12,차,car,,,,,,,,,,,,,,,,,,,,,,,,
,13,트럭,truck,,,,,,,,,,,,,,,,,,,,,,,,
,14,자정거,bicycle,,,,,,,,,,,,,,,,,,,,,,,,
,15,버스,bus,,,,,,,,,,,,,,,,,,,,,,,,
,16,배,boat; pear; stomach,,,,,,,,,,,,,,,,,,,,,,,,
,17,선박,a commercial ship/vessel,,,,,,,,,,,,,,,,,,,,,,,,
,18,타이어,tire,,,,,,,,,,,,,,,,,,,,,,,,
,19,기름,oil; gasoline,,,,,,,,,,,,,,,,,,,,,,,,
,20,엔진,engine,,,,,,,,,,,,,,,,,,,,,,,,
,21,기차표,train ticket,,,,,,,,,,,,,,,,,,,,,,,,
,22,교통,transportation; traffic,,,,,,,,,,,,,,,,,,,,,,,,
,23,도시,city,,,,,,,,,,,,,,,,,,,,,,,,
,24,집,house,,,,,,,,,,,,,,,,,,,,,,,,
,25,길,street,,,,,,,,,,,,,,,,,,,,,,,,
,26,도로,road,,,,,,,,,,,,,,,,,,,,,,,,
,27,공항,airport,,,,,,,,,,,,,,,,,,,,,,,,
,28,기차역,train station,,,,,,,,,,,,,,,,,,,,,,,,
,29,다리,bridge; leg,,,,,,,,,,,,,,,,,,,,,,,,
,30,호텔,hotel,,,,,,,,,,,,,,,,,,,,,,,,
,31,식당,restaurant,,,,,,,,,,,,,,,,,,,,,,,,
,32,농장,farm,,,,,,,,,,,,,,,,,,,,,,,,
,33,재판소,courthouse (legal),,,,,,,,,,,,,,,,,,,,,,,,
,34,학교,school,,,,,,,,,,,,,,,,,,,,,,,,
,35,사무실,office,,,,,,,,,,,,,,,,,,,,,,,,
,36,방,room,,,,,,,,,,,,,,,,,,,,,,,,
,37,마을,"village, town",,,,,,,,,,,,,,,,,,,,,,,,
,38,대학교,university,,,,,,,,,,,,,,,,,,,,,,,,
,39,클럽,club,,,,,,,,,,,,,,,,,,,,,,,,
,40,술집,bar,,,,,,,,,,,,,,,,,,,,,,,,
,41,공원,park,,,,,,,,,,,,,,,,,,,,,,,,
,42,캠프,camp,,,,,,,,,,,,,,,,,,,,,,,,
,43,가게,store,,,,,,,,,,,,,,,,,,,,,,,,
,44,극장,theater,,,,,,,,,,,,,,,,,,,,,,,,
,45,도서관,library,,,,,,,,,,,,,,,,,,,,,,,,
,46,병원,hospital,,,,,,,,,,,,,,,,,,,,,,,,
,47,교회,church,,,,,,,,,,,,,,,,,,,,,,,,
,48,시장,market,,,,,,,,,,,,,,,,,,,,,,,,
,49,나라,country,,,,,,,,,,,,,,,,,,,,,,,,
,50,건물,building,,,,,,,,,,,,,,,,,,,,,,,,
,51,바닥,floor,,,,,,,,,,,,,,,,,,,,,,,,
,52,공간,"space, room",,,,,,,,,,,,,,,,,,,,,,,,
,53,은행,bank,,,,,,,,,,,,,,,,,,,,,,,,
,54,위치,location,,,,,,,,,,,,,,,,,,,,,,,,
,55,모자,hat,,,,,,,,,,,,,,,,,,,,,,,,
,56,드레스,dress,,,,,,,,,,,,,,,,,,,,,,,,
,57,양복,suit,,,,,,,,,,,,,,,,,,,,,,,,
,58,치마,skirt,,,,,,,,,,,,,,,,,,,,,,,,
,59,티셔츠,t-shirt,,,,,,,,,,,,,,,,,,,,,,,,
,60,바지,pants,,,,,,,,,,,,,,,,,,,,,,,,
,61,신발,shoes,,,,,,,,,,,,,,,,,,,,,,,,
,62,주머니,pocket,,,,,,,,,,,,,,,,,,,,,,,,
,63,코트,coat,,,,,,,,,,,,,,,,,,,,,,,,
,64,얼룩,stain,,,,,,,,,,,,,,,,,,,,,,,,
,65,옷,clothes,,,,,,,,,,,,,,,,,,,,,,,,
,66,빨간색,red,,,,,,,,,,,,,,,,,,,,,,,,
,67,초록색,green,,,,,,,,,,,,,,,,,,,,,,,,
,68,파랑색,blue,,,,,,,,,,,,,,,,,,,,,,,,
,69,노랑색,yellow,,,,,,,,,,,,,,,,,,,,,,,,
,70,곤색,navy blue,,,,,,,,,,,,,,,,,,,,,,,,
,71,분홍색,pink,,,,,,,,,,,,,,,,,,,,,,,,
,72,갈색,brown,,,,,,,,,,,,,,,,,,,,,,,,
,73,오랜지색,orange,,,,,,,,,,,,,,,,,,,,,,,,
,74,검은색,black,,,,,,,,,,,,,,,,,,,,,,,,
,75,하얀색,white,,,,,,,,,,,,,,,,,,,,,,,,
,76,회색,gray,,,,,,,,,,,,,,,,,,,,,,,,
,77,색깔,color,,,,,,,,,,,,,,,,,,,,,,,,
,78,아들,son,,,,,,,,,,,,,,,,,,,,,,,,
,79,딸,daughter,,,,,,,,,,,,,,,,,,,,,,,,
,80,엄마,mom,,,,,,,,,,,,,,,,,,,,,,,,
,81,아빠,dad,,,,,,,,,,,,,,,,,,,,,,,,
,82,부모님,parents,,,,,,,,,,,,,,,,,,,,,,,,
,83,애기,baby,,,,,,,,,,,,,,,,,,,,,,,,
,84,남자,man,,,,,,,,,,,,,,,,,,,,,,,,
,85,여자,woman,,,,,,,,,,,,,,,,,,,,,,,,
,86,형,the older brother of a male,,,,,,,,,,,,,,,,,,,,,,,,
,87,누나,the older sister of a male,,,,,,,,,,,,,,,,,,,,,,,,
,88,오빠,the older brother of a female,,,,,,,,,,,,,,,,,,,,,,,,
,89,언니,the older sister of a female,,,,,,,,,,,,,,,,,,,,,,,,
,90,할아버지,grandfather,,,,,,,,,,,,,,,,,,,,,,,,
,91,할머니,grandmother,,,,,,,,,,,,,,,,,,,,,,,,
,92,남편,husband,,,,,,,,,,,,,,,,,,,,,,,,
,93,아내,wife,,,,,,,,,,,,,,,,,,,,,,,,
,94,왕,king,,,,,,,,,,,,,,,,,,,,,,,,
,95,여왕,queen,,,,,,,,,,,,,,,,,,,,,,,,
,96,대통령,president,,,,,,,,,,,,,,,,,,,,,,,,
,97,옆집 사람,neighbour,,,,,,,,,,,,,,,,,,,,,,,,
,98,여자아이,little girl,,,,,,,,,,,,,,,,,,,,,,,,
,99,남자아이,little boy,,,,,,,,,,,,,,,,,,,,,,,,
,100,성인,adult,,,,,,,,,,,,,,,,,,,,,,,,
,101,인간,human being,,,,,,,,,,,,,,,,,,,,,,,,
,102,친구,friend,,,,,,,,,,,,,,,,,,,,,,,,
,103,피해자,victim,,,,,,,,,,,,,,,,,,,,,,,,
,104,선수,player,,,,,,,,,,,,,,,,,,,,,,,,
,105,팬,fan,,,,,,,,,,,,,,,,,,,,,,,,
,106,군중,crowd,,,,,,,,,,,,,,,,,,,,,,,,
,107,사람,person,,,,,,,,,,,,,,,,,,,,,,,,
,108,선생님,teacher,,,,,,,,,,,,,,,,,,,,,,,,
,109,학생,student,,,,,,,,,,,,,,,,,,,,,,,,
,110,변호사,lawyer,,,,,,,,,,,,,,,,,,,,,,,,
,111,의사,doctor,,,,,,,,,,,,,,,,,,,,,,,,
,112,환자,patient,,,,,,,,,,,,,,,,,,,,,,,,
,113,웨이터,waiter,,,,,,,,,,,,,,,,,,,,,,,,
,114,비서,secretary,,,,,,,,,,,,,,,,,,,,,,,,
,115,신부님,priest,,,,,,,,,,,,,,,,,,,,,,,,
,116,경찰,police,,,,,,,,,,,,,,,,,,,,,,,,
,117,군대,army,,,,,,,,,,,,,,,,,,,,,,,,
,118,군인,soldier,,,,,,,,,,,,,,,,,,,,,,,,
,119,예술가,artist,,,,,,,,,,,,,,,,,,,,,,,,
,120,저자,author,,,,,,,,,,,,,,,,,,,,,,,,
,121,매니저,manager,,,,,,,,,,,,,,,,,,,,,,,,
,122,기자,reporter,,,,,,,,,,,,,,,,,,,,,,,,
,123,배우,actor,,,,,,,,,,,,,,,,,,,,,,,,
,124,직업,job,,,,,,,,,,,,,,,,,,,,,,,,
,125,종교,religion,,,,,,,,,,,,,,,,,,,,,,,,
